Movie,Year,Genre,Actors,Director(s),Producer(s),Writer(s),Musician(s),Poet(s),Singer(s),Cinematogrpahy,Others
Jabroo, 1956-07-06, Biographical & action film,"Yasmin, Akmal, Talish, Sikandar, Shahana, Sikedar, Nayat Sarhadi, Imdad Hussain",Muzaffar Tahir,F.S. Salahuddin,Sikkedar,Ashiq Hussain,"Tanvir Naqvi, Saifuddin Saif, Saghar Siddiqi, Hafiz Amratsari, Sikkedar","Kousar Parveen, Inayat Hussain Bhatti, A.R. Bismal, Fazal Hussain",Sheeda,
Soteli Maa, 1956-07-06, Family drama,"Sawran Lata, Masood, Zeenat, A. Shah, Nazar, Faizi, Maya Devi,",Rauf,Rauf,Hasrat Lakhnavi,G.A. Chishti,?,?,?,
Sabira, 1956-07-13, Family drama,"Sawran Lata, Nazir, Nazar, Neelo, Ajmal, Ilyas Kashmiri",Rafi Chodhary,Nazir,?,Safdar Hussain,?,"Zubaida Khanum, Kousar Parveen, Inayat Hussain Bhatti, Saleem Raza",?,
Pawwan, 1956-07-20, Family drama,"Shammi, Sudhir, Zarif, Nazar, Asha Poslay",Aslam Irani,Eid Mohammad,?,Nazir Jafri,?,"Kousar Parveen, Inayat Hussain Bhatti, Saleem Raza, Zarif",?,
Mukh-o-Mukhosh, 1956-08-03, Family drama,"Jabbar Khan, Ahmad, Purnima Sen, Nazma (Peary), Zaharat Ara, Ali Mansur, Fafiq, Narul Anarn Khan, Saifuddin, Bilkis Bad","Nuruzzaman, Shahidul Alam, Kalimullh, M. A. Hasan of lqbal Film",Jabbar Khan,Abdul Jabbar Khan,Samar Das (the first music director from East Pakistan),?,?,0. M. Zaman,
Baghi, 1956-09-14, Action film,"Sudhir, Musarrat Nazir, Yasmin, Allauddin, Nazar, Zeenat, Ajmal , Sultan Rahi (first film)",Ashfaq Malik,Ashfaq Malik,?,Rehman Verma,"Arsh Lakhnavi, Mushir Kazmi","Munawar Sultana, Kousar Parveen, Zubaida Khanum, Inayat Hussain Bhatti",?,
Wehshi, 1956-09-21, Social film,"Rehana, Afzal Nazir, Zarif, Hamaliya Wala, Sultan Rahi (xtra)",Munawar H. Qasim,S. D. Asif Khan,?,Tufail Farooqi,?,,?,
Hatim, 1956-10-05, Costume film,"Sabiha, Sudhir, Asha Poslay, Nazar, Ilyas Kashmiri, Ajmal, Saleem Raza, Ghulam Mohammad, Diljeet Mirza, G.N. Butt, Zeenat, Maya Devi, Sultan Rahi (xtra)",Daud Chand,J.C. Anand,Shatir Lakhnavi,Safdar Hussain,Qateel Shafai,Saleem Raza,Riaz Butt,
Guddi Gudda, 1956-11-02, Romantic & musical film,"Musarrat Nazir, Sudhir, Talish, Asha Poslay, Ajmal, Ghulam Mohammad, Hazin Qadri, G.N. Butt, Fazal Haq, Imdad Hussain",Wali Sahib,Rahman Mirza,Wali Sahib (ass. dialogues: Hazin Qadri),G.A. Chishti,Wali Sahib,"Zubaida Khanum, Munwar Sultana, Abdul Shakoor Bedal",Mozelle,
Miss 56, 1956-11-09, Family drama,"Meena Shori, Santosh, Aslam Parvez, Shamim Ara, Zarif, Noor Mohammad Chsarli, Zahoor Shah, Sheikh Iqbal, Laddan, Hameed Wayen, (Guests: Rehana, Shah Nawaz)",Roop K. Shori,J. C. Anand,I. S. Johar,G.A. Chishti,Wali Sahib,"Munawar Sultana, Nazir Begum, Mehdi Hassan and Gitta Dutt (Indian singer)",Suhail Hashmi,Audiography: Iqbal Shehzad
Darbar-e-Habib, 1956-11-23, Islamic film,"Yasmin, Talish, Majeed, Begum Parveen, Baby Shabana","Sheikh Mohammad Latif, Riaz Ahmad",Sheikh Mohammad Latif,Shatir Ghaznavi,"Rehman Varma, Hassan Latif","Nazim Panipatti, Saghar Siddiqi","Zamurrad Bano, Inayat Hussain Bhatti, Sheikh Iqbal, Imdad Hussain, Santo Khan",Riaz Bukhari,
Chann Mahi, 1956-11-30, Social & musical film,"Bahar, Aslam Parvez, Asif Jah, Nighat, M. Ismael, Sheikh Iqbal, Agha Saleem Raza",Anwar Kemal Pasha,Anwar Kemal,?,Rasheed Attray,Sheikh Iqbal,"Zubaida Khanum, Saleem Raza",?,
Haqeeqat, 1956-12-21, Family drama,"Yasmin, Masood, Zeenat, Ghulam M., A. Shah",A. Shah,A. Shah,?,G.A. Chishti,?,"Munawar Sultana, Kousar Parveen, Saleem Raza",?,
Shalimar, 1956-12-21, Family drama,"Rehana, Sudhir, Shola, Nazar, Ghulam Mohammad",S. H. Zaidi,Chodhary Meraj Din,?,Mubarak Ali Khan,?,?,?,
Seestan, 1957-01-14, Family drama,"Musarrat Nazir, Shaad, Saleem Raza, Asha",N.M. Khawaja,N.M. Khawaja,?,G.A. Chishti,?,?,?,
Yakkay Wali, 1957-02-22, Social & musical film,"Musarrat Nazir, Sudhir, Neelo, Zarif, Nazar, Zeenat, Ajmal, Ilyas Kashmiri, Ghulam Mohammad, Rekha, Shmasa, Shado, Nikko, Mehboob Kashmiri, Sultan Rahi (xtra)",M.J. Rana (also screenplay),Bari Malik,Sheikh Iqbal,G.A. Chishti,Ahmad Rahi (also dialogues),"Zubaida Khanum, Azra Sultana, Munir Hussain, Zarif & Co.",Parvez (ass. Azhar Barki),
Daata, 1957-02-22, Family drama,"Sabiha, Sudhir, Shola, Diljeet Mirza, Ghulam Mohammad",Syed Atta Ullah Shah Hashmi,Syed Atta Ullah Shah Hashmi,?,Tasadduq Hussain,?,Saleem Raza,?,
Aas Paas, 1957-02-22, Family drama,"Sabiha, Aslam Parvez, Yasmin, Nighat Sultana, M. Ismael, Allauddin",M.A. Rasheed,A. Munawar,?,Akhtar Hussain Akhian,?,"Zubaida Khanum, Kousar Parveen, Saleem Raza",?,
Anjaam, 1957-03-08, Family drama,"Yasmin, Ilyas Kashmiri, Neelo, Rakhshi, Sheikh Iqbal",Jafar Bukhari,Jafar Bukhari,?,A. Hameed,?,?,?,
Maska Polish, 1957-03-15, Family drama,"Anuradha, Ayaz, Azad, Sharara, Agha Jan",Fida Yazdani,Usman Khaitani,?,Deebo,Fida Yazdani,"Nazir Begum, Mehdi Hassan, Ahmad Rushdi, Deebo Radanial",?,
Ishq-e-Laila, 1957-04-12, Folk & musical film,"Sabiha, Santosh, Asha Poslay, M. Ismael, Ajmal, Nazar, Zeenat, Allauddin, Sultan Khoost, Maya Devi",Munshi Dil (ass. Qadeer Ghori),J.C. Anand,Munshi Dil,Safdar Hussain,Qateel Shafai,"Zubaida Khanum, Iqbal Bano, Saleem Raza and Inayat Hussain Bhatti",M. Fazil,
Laila Majnu, 1957-04-12, Folk film,"Bahar, Aslam Parvez, Shola, Ilyas Kashmiri, Asif Jahh",Anwar Kemal Pasha,Anwar Kemal,?,Rasheed Attray,Munshi Dil,?,?,
Palkan, 1957-05-02, Family drama,"Musarrat Nazir, Aslam Parvez, Zarif, Allauddin, Sultan Rahi (xtra)",Amin Malik,Chodhary Sanaullah,?,G.A. Chishti,Ahmad Rahi,?,?,
Pholay Khan, 1957-05-02, Family drama,"Sabiha, Aslam Parvez, Neelo, Diljeet Mirza Allauddin",Jameel Mirza,Islamuddin,?,Akhtar Hussain Akhian,?,?,?,
Thandi Sarak, 1957-05-02, Family drama,"Musarrat Nazir, Kemal, Zarif, Nighat Sultana, Rekha",A. Hameed,Shabab Keranvi,Ali Sufyan Afaqi,Mohammad Ali Munno,Ali Sufyan Afaqi,Zubaida Khanum,?,
Waada, 1957-05-02, Romantic & musical film,"Sabiha, Santosh, Laila, Allauddin, Ilyas Kashmiri, Asad Jafri, Ghulam Mohammad, Majeed, Anjum, Fareed Ahmad, Agha Peer Jan, Iqbal Begum, Al-Hamid, Dr. Nadir Wasi, Imada Hussain","W. Z. Ahmad (ass. Fareed Ahmad, Al-Hamid)",Mian Ehsan,Neena,Rasheed Attray,"Saifuddin Saif, Tufail Hoshiarpuri","Kousar Parveen, Zubaida Khanum, Zahida Parveen, Sharafat Ali, Saleem Raza, Fateh Ali Khan","Abdullah, Nabi Ahmad",
Bara Aadmi, 1957-05-23, Family drama,"Meena Shori, Ejaz, M. Ismal, Allauddin",Humayun Mirza,Hussain D Silva,?,"Ghulam Nabi, Abdul Latif",Kaleem Usmani,"Mubarak Begum, Ahmad Rushdi",?,
Nooran, 1957-05-30, Romantic & musical film,"Noorjahan, Sudhir, Zeanat, Nazar, Saleem Raza, Rakhshi, Maya Devi, Ajmal, G.N. Butt, Nighat Sultana (guest), Ismael Qamar, Saeed Akhtar, Afzal Beg",M.A. Khan,J. C. Anand,Hazin Qadri,Safdar Hussain,Hazin Qadri,"Noorjahan, Iqbal Bano, Munir Hussain",Mozelle,
Aankh ka Nashah, 1957-05-30, Family drama,"Sabiha, Sudhir, Musarrat Nazir, Neelo, Aslam Parvez",S. Fazli,Sudhir,?,Master Inayat Hussain,Agha Hashr Kaashmiri,?,?,
Sehti, 1957-06-21, Folk film,"Musarrat Nazir, Akmal, Neelo, Inayat Hussain Bhatti, Talish, Ghulam Mohammad, Zeenat, ChunChun, G.N. Butt, Rekha, Sheikh Iqbal",M.J. Rana,Bari Malik,?,G.A. Chishti,Ahmad Rahi,"Zubaida Khanum, Azra Sultana, Inayat Hussain Bhatti, Imdad Hussain",M. Fazil (ass. Babar Bilal),
Baap ka Gunah, 1957-07-09, Family drama,"Musarrat Nazir, Darpan, Saleem Raza, Asif Jahh",Jafar Malik,Anwar Kemal Pasha,Ahmad Shujaa,Rasheed Attray,Fyaz Hashmi,"Munawar Sultana, Naheed Niazi, Munir Hussain",?,
Murad, 1957-07-09, Family drama,"Sabiha, Sudhir, Asha Poslay, Nazar, Ilyas Kashmiri, Sultan Rahi (xtra)",Daud Chand,Daud Chand,?,Safdar Hussain,?,?,?,
Nigar, 1957-07-09, Family drama,"Shahina, Aman, Rakhsi, Naeem Hashmi, M. Ismael",Naeem Hashmi,Q. M. Deen,?,Tasadduq Hussain,?,?,?,
Shohrat, 1957-08-02, Family drama,"Nasrin, Habib, Ilyas Kashmiri, A. Shah, Ajmal",Nazir Ajmeri,Nazir Ajmeri,?,Rasheed Attray,Nazir Ajmeri,?,?,
Sardar, 1957-09-06, Family drama,"Sabiha, Santosh, Asif Jahh, Ilyas Kashmiri, Talish, Sultan Rahi (xtra)",M.S. Daar,Sami Delhvi,?,G.A. Chishti,?,?,?,
700, 1957-10-09, Romantic & musical film,"Sabiha, Santosh, Nayyar Sultana, Neelo (guest), Asif Jah, Talish, Hamaliya Wala, Nighat Sultana, Nusrat Kardar, Ghulam Mohammad, Fazal Haq, Shakir, Ali Baba, Sultan Khoost",Jafar Malik (ass. Hassan Tariq),Saifuddin Saif,"Saifuddin Saif (also dialogs with: Aziz Merathi, screenplay: Jafar Malik)",Rasheed Attray,Saifuddin Saif,"Zubaida Khanum, Kousar Perween, Munir Hussain & Saleem Raza","Raza Mir, Naseem Hussain",Editor: M. Akram
Zulfan, 1957-10-09, Family drama,"Bahar, Aslam Parvez, Zeenat, Asif Jahh, M. Ismael, Sultan Rahi (xtra)",Agha Hussaini,Anwar Kemal,?,G.A. Chishti,?,Inayat Hussain Bhatti,?,
Noor-e-Islam, 1957-11-01, Islamic film,"Sawran Lata, Darpan, Nazir, Asha Poslay, Nazar, Majeed, Naeem Hashmi, Nazir",Nazir,J. C. Anand,Arsh Lakhnavi (dialogues with Aziz Asri),Hassan Latif,"Tanvir Naqvi, Naeem Hashmi","Zubaida Khanum, Kousar Parveen, Saleem Raza, Faza Hussain",Masood-ur-Rehman,Assistent director: Naeem HashmiRe-recording: Iqbal Shehzad
Bedari, 1957-12-06, Patriotic film,"Ragni, Santosh, Rattan Kumar",Rafiq Rizvi,Sheikh Latif,?,Fateh Ali Khan,Fyaz Hashmi,"Munawar Sultan, Saleem Raza",?,
Masoom, 1957-12-06, Family drama,"Yasmin, Habib, Ratan Kumar, Shola, Dljeet, GN Butt, Fazal Shah, Abbas Ajmeri, M. Ismail",Sharif Nayyar,Malik Mohammad,?,Master Inayat Hussain,?,"Zubaida Khanum, Munawar Sultana, Inayat Hussain Bhatti, Saleem Raza",?,
Pasban, 1957-12-27, Family drama,"Sabiha, Aslam Parvez, Asha Poslay, Zarif, Nighat Sultana, Asif Jah, Ghulam Mohammad",Haidar Shah,A. Qayum,?,Rasheed Attray,?,"Zubaida Khanum, Zarif",?,
Sheikh Chilli, 1958-01-10, Folk film,"Sabiha, Aslam Parvez, Asif Jah, Neelo,",Asif Jahh,Ejaz Khawarzmi,?,Saleem Iqbal,Asif Jah,?,?,
Changez Khan, 1958-01-24, Biographical & action film,"Neelo, Kamran, Rakhshi, Ghulam Mohammad, Chodhary Hassan-ud-Din",Rafiq Sarhadi,Chodhary Hassan-ud-Din,Naseem Hijazi,Rasheed Attray,Tufail Hoshiarpuri,"Zubaida Khanum, Munawar Sultana, Hussain Bhatti, Sain Akhtar",?,
Be-Gunah, 1958-02-07, Family drama,"Nayyar, Anwar Baig, Butt Kashir, Nighat, Mazhar Shah",Anwar Beg,Ashur Kazmi,?,Shaharyar,?,?,?,
Neya Dour, 1958-02-14, Family drama,"Jameela Razzaq, Aslam Parvez, Neelo, Yousuf Khan, Diljeet Mirza",Syed Atta Ullah Shah Hashmi,Syed Atta Ullah Shah Hashmi,?,Tasadduq Hussain,?,?,?,
Neya Zamana, 1958-02-14, Family drama,"Musarrat Nazir, Santosh, M. Ismael",Nusrat Mansoori,Aslam Sharif,?,Tasadduq Hussain,?,"Zubaida Khanum, Kousar Parveen, Saleem Raza, Munir Hussain",?,
Kachian Kalian, 1958-02-28, Family drama,"Neelo, Aslam Parvez, Zarif, Allauddin",Malik Amin,Hakim Ali,?,Akhtar Hussain Akhian,?,?,?,
Dil mein Tu, 1958-03-07, Family drama,"Sabiha, Ejaz, Nayyar Sultana, Nazar",Murtaza Changezi,Mamnoon Hassan,?,Manzoor,?,?,?,
Lakhpati, 1958-03-07, Family drama,"Nighat, Saqi, Nasreen, Jamal, Asha",M.A. Rasheed,Khawaja Hashmatullah,?,Masoom Rahim,?,?,?,
Tamanna, 1958-03-07, Family drama,"Yasmin, Ejaz, Nighat, Asha Poslay",Khadim Mohayuddin,Khadim Mohayuddin,?,Hassan Latif,?,?,?,
Chhoomantar, 1958-04-21, Romantic & musical film,"Noorjahan, Aslam Parvez, Zarif, Laila, Allauddin, Saleem Raza, Zamurrad, Ghulam Mohammad, Gul Zaman, Hamid","Mian Mushtaq, Mian Hafeez",Mian Mushtaq,Ahmad Rahi,Master Rafiq Ali,"Ahmad Rahi, Nazish","Noorjahan, Zubaida Khanum, Zarif","Aslam Dar (ass. Babar Bilal, Saeed Dar)",
Pardesi, 1958-04-21, Family drama,"Lali, Fazlani, Rumi, Charlie",S.A. Ghaffar,Fazlani,?,"Ghulam Nabi, Abdul Latif",?,?,?,
Hasrat, 1958-04-21, Family drama,"Sabiha, Santosh, Yousuf Khan, Zarif, M. Ismael, Ilyas Kashmiri, Allauddin, Zeenat, G.N. Butt",Munshi Dil,J.C. Anand,Munshi Dil,Safdar Hussain,Qateel Shafai,"Zubaida Khanum, Kousar Parveen, Iqbal Bano, Inayat Hussain Bhatti, Saleem Raza, Munir Hussain",?,
Jan-e-Bahar, 1958-04-21, Family drama,"Musarrat Nazir, Sudhir, Husna, Neelo, Shah Nawaz, Noor Mohammad Charlie, Saleem Raza, Nasrin, Bibbo, Ishrat Nigah, Laddan, (Guests: Santosh, Nazar, A. Shah, Nighat Sultana, Syed Shoukat Hussain Rizvi)",Syed Shoukat Hussain Rizvi,Syed Shoukat Hussain Rizvi,?,Rasheed Attray,?,"Noorjahan, Kousar Parveen, Saleem Raza",,
Neyi Larki, 1958-04-21, Family drama,"Neelo, Aslam Parvez, Yasmin, Ghulam Mohammad, Shah Nawaz, Amin Malik, Anjam, Bela Malik",Amin Malik,Aslam Khan,Ibrahim Jalees,Hassan Latif,Munir Niazi,"Zubaida Khanum, Kousar Parveen, Fazal Hussain",?,
Zehr-e-Ishq, 1958-04-21, Romantic & musical film,"Musarrat Nazir, Habib, Yasmin, Neelo, Bibbo, M. Ismael, Maya Devi, Nusrat Kardar, Ali Baba, Pisho, Agha Pir Jan, Sultan Rahi (xtra)",Masood Parvez,"Sultan Jeelani, Khawaja Khursheed Anwar","Khawaja Khursheed Anwar (aslo screenplay), dialouges: Syed Imtiaz Ali Taj",Khawaja Khursheed Anwar (ass. Manzoor),Qateel Shafai,"Zubaida Khanum, Kausar Parveen, Naheed Niazi",Nabi Ahmad,
Sassi Punnu, 1958-05-30, Folk film,"Nighat, Saqi, Rukhshi, Sayani",Akbar Ali,Saeed Haroon,?,"Ghulam Nabi, Abdul Latif",?,?,?,
Anar Kali, 1958-06-06," Fictional, historical, romantic & musical film","Noorjahan, Sudhir, Ragni, Shamim Ara, Zarif, Ajmal, Hamaliawala, G.N. Butt, Fazal Haq, Shamsa, Zohra Mirza",Anwar Kemal Pasha,Mukhtar Ahmad,Imtiaz Ali Taj (screenplay: Qamar Ajnalvi),"Master Inayat Hussain, Rasheed Atray","Tanvir Naqvi, Qateel Shafai, Saifuddin Saif, Tufail Hoshiarpuri, Hakim Ahmad Shujaa",Noorjahan,Rasheed Lodhi,
Sitaron ki Dunya, 1958-06-13, Family drama,"Meena Shori, Sheda Imam, Rukhsana, Noor Mohammad Charlie",M.H. Mohib,Sheda Imam,?,Zafar Khursheed,"Izhar Malihabadi, Mayel Lakhnavi, Nashir Rizvi, Ustad Umrao Bandu, Majruh Sultanpuri","Kousar Parveen, Nazir Begum, Madhu Almas, Ustad Umrao Bandu Khan, Munir Hussain, Ahmad Rushdi",?,
Jatti, 1958-06-20, Family drama,"Musarrat Nazir, Sudhir, Neelo, Ilyas Kashmiri, M. Ismael, Ajmal, Zarif, Talish, Rangeela, G.N. Butt, Taya Barkat, Rajni, Imdad Hussain",M.J. Rana (also screenplay),Malik Mubarak Ahmad,Baba Alam Siaposh,G.A. Chishti,"Ahmad Rahi, Ismael Matwala, Waris Ludhyanvi","Zubaida Khanum, Inayat Hussain Bhatti, Munir Hussain, Zarif, Imdad Hussain",Masood-ur-Rehman,
Mukhra, 1958-06-29, Romantic & musical film,"Sabiha, Santosh, Asha Posley, Nazar, Ghulam Mohammad, Allauddin, (Guests: Nayar Sultan, Darpan, Yasmin, Nusrat Kardar)",Jafar Malik (ass. S. Suleman),Santosh Kumar,Malik Hafeez (dialog: Baba Alam Siaposh),Rasheed Attray,Waris Ludhyanvi,"Zubaida Khanum, Naseem Begum, Munir Hussain, Sain Akhtar",Masood-ur-Rehman,Screenplay by: Jafar Malik
Rukhsana, 1958-06-29, Family drama,"Musarrat Nazir, Darpan, Nayyar, Rukhsana, Zeenat, Sultan Rahi (xtra)",Fazal Deen,Fazal Deen,?,Rasheed Attray,?,?,?,
Touheed, 1958-06-29, Islamic film,"Nayyar Sultana, Talish, Laila, S.Gul, Azad, Saleem Raza, Yasmin (guest), Kalawti, Nusrat Kardar, G.N. Butt, Nasira, Ghulam Qadir, Ali Baba, Munshi Zaheer",Ashiq Bhatti,"Mohammad Saghir, M.A. Jafri",Search: Ashiq Bhatti and Tasadduq Hussain Riaz (also dialogues),"Khursheed Qais, A. Hameed","Moulana Altaf Hussain Hali, Hazin Qadri, Anwaar Hakeem","Kousar Parveen, Salma, Saleem Raza, Manzoor",Akbar Irani,
Prai Zamin, 1958-08-14, Family drama,"Suzi Danial, Sultan, Charlie",Sheikh Hassan,A. G. Mirza,?,"Ghulam Nabi, Abdul Latif",?,?,?,
Bharosa, 1958-08-22, Family drama,"Yasmin, Yousuf Khan, Laila, Allauddin",Jafar Bukhari,Jafar Bukhari,Riaz Shahid,A. Hameed,Riaz Shahid,"Zubaida Khanum, Saleem Raza, Munir Hussain",?,
Darbar, 1958-08-22, Family drama,"Sabiha, Santosh, Neelo, Allauddin, Sultan Rahi (xtra)",Riaz Ahmad,Riaz Ahmad,?,Rehman Verma,?,?,?,
Mumtaz, 1958-08-29, Family drama,"Neelo, Ayaz, Ragni, Mazhar Shah, Sultan Rahi (xtra)",Mohammad Ali,M. Yousuf,?,Shaharyar,?,?,?,
Pehla Qadam, 1958-09-19, Family drama,"Sozi, Haroon, Naina, Sultan Rahi (xtra)",A. G. Thawni,A. G. Mirza,?,"Ghulam Nabi, Abdul Latif",?,?,?,
Wah ray Zamanay, 1958-10-10, Family drama,"Shamim Ara, Ejaz, Ratan Kumar, Rukhsana",Rafiq Ghaznavi,Wazir Ali,?,"Ghulam Nabi, Abdul Latif",Fyaz Hashmi,"Kousar Parveen, Iqbal Bano, Ahmad Rushdi, Muzaffar",?,
Akhri Dao, 1958-10-31, Family drama,"Nayyar Sultana, Habib, Talish, Allauddin, Sultan Rahi (xtra)",A.K. Chodhary,Chodhary Asghar,?,Ashiq Hussain,?,?,?,
Aadmi, 1958-11-14, Family drama,"Yasmin, Habib, Nayyar Sultana, Diljeet Mirza, Talish and Allauddin, Sultan Rahi (xtra)",Luqman,Luqman,Ali Sufyan Afaqi,Muslehuddin,Ayub Sarwar,"Naheed Niazi, Saleem Raza, Batish",?,
Jagga, 1958-11-21, Family drama,"Meena, Ilyas Kashmiri, Saleem Raza, Zeenat, Sultan Rahi (xtra)",Saqlain Rizvi,Faqir Hussain Shah,?,G.A. Chishti,?,?,?,
Ghar Jawai, 1958-11-25, Family drama,"Bahar, Sultan, A. Shah, Ilyas Kashmiri",M. Akram,S.A. Rasheed,?,Saleem Iqbal,"Baba Alam Siaposh, Ustad Daman, Qateel Shafai, Basheer Munzar","Zubaida Khanum, Inayat Hussain Bhatti, Saleem Raza",?,
Aakhri Nishan, 1958-12-12, Family drama,"Meena Shori, Sudhir, Neelo, Nazar, Talish, Allauddin",Ashfaq Malik,Ashfaq Malik,?,Rehman Verma,Mushir Kazmi,?,?,
Alam Ara, 1959-01-02, Family drama,"Shamim Ara, Akmal, Ilyas Kashmiri, Asha Poslay, Rafi Ganja, Ghulam Mohammad",Daud Chand,J. C. Anand,?,Rehman Verma,"Mushir Kazmi, Shabab Keranvi","Naseem Begum, Naheed Niazi, Inayat Hussain Bhatti",?,
Society, 1959-01-13, Family drama,"Musarrat Nazir, Sudhir, Shola, Husna, Zeenat, Saleem Raza",M.A. Khan,M.A. Khan,?,Safdar Hussain,?,Mehdi Hassan,?,
Muskarahat, 1959-01-20, Family drama,"Sabiha, Santosh, Aslam Parvez, M. Ismal",N.E. Akhtar,N.E. Akhtar,?,Hameed Jazib,?,?,?,
Bodi Shah, 1959-04-10, Family drama,"Bahar, Akmal, Zarif, Nasira, Ajmal, Ghulam Mohammad, Talish, Zamurrad, Imdad Hussain, Rajni, Sultan Khoost, Sultan Rahi (xtra)","S.M. Ahmad, Qalandar",Malik Mushtaq,"M. Sadiq (dialog: Sultan Khoost, screenplay: Gul Mir)",Tufail Farooqi,Waris Ludhyanvi,"Zubaida Khanum, Munir Hussain",Sheeda,
Naaji, 1959-04-10, Family drama,"Sabiha, Santosh, Nazar, Zeenat, M. Ismael, Ajmal, Ghulam Mohammad, Ilyas Kashmiri, Rakhshi, Imdad Hussain, Hamid, Kamla, Azra, Ali Baba",Qadeer Ghori (aslo screenplay),Sabiha Khanum,Sultan Khoost (dialogues: Baba Alam Siaposh),Safdar Hussain,Waris Ludhyanvi,"Zubaida Khanum, Naseem Begum, Munir Hussain","Riaz Ahmad, M. Fazil",
Pardesan, 1959-04-10, Romantic film,"Noorjahan, Aslam Parvez, Asha Poslay, Zareef",M. Naseem,M. Naseem,Hazin Qadri,Akhtar Hussain Akhian,Hazin Qadri,"Noorjahan, Zubaida Khanum",?,
Sahara, 1959-04-10, Family drama,"Musarrat Nazir, Darpan, Diljeet, Sultan Rahi (xtra)",A. Rauf,A. Rauf,?,Mohammad Ali Munno,?,"Munawar Sultana, Saleem Raza",?,
16 Aanay, 1959-04-10, Family drama,"Musarrat Nazir, Ejaz, Neelo, Zahoor Shah, Saleem Raza, Asif Jah, Sawan, Rehan, Sultan Rahi (xtra)",Agha Hussaini,S.A. Rasheed,?,Feroz Nizami,Sahir Ludhyanvi,"Zubaida Khanum, Naheed Niazi, Inayat Hussain Bhatti, Ahmad Rushdi",?,
Teray Baghair, 1959-04-10, Romantic fim,"Sabiha, Santosh, Nighat Sultana, M. Ismael, Diljeet Mirza, Rakhshi, Allauddin",Murtaza Jilani,Tasaduq Hussain,Agha Hashar Kashmiri (screenplay: Ehsan B.A.),Master Inayat Hussain,?,Iqbal Bano,?,
Yaar Beli, 1959-04-10, Family drama,"Musarrat Nazir, Sudhir, Neelo, Zarif, Saleem Raza, Sultan Rahi (xtra)",Khalil Qaisar,Bari Malik,Aziz Merthi (dialog: Ahmad Rahi),Safdar Hussain,Ahmad Rahi,?,?,
Bacha Jamoora, 1959-05-25, Family drama,"Meena Shori, Akmal, Nayyar Sultana, Zarif, Ilyas Kashmiri, Ajmal, Mazhar Shah",Aslam Irani,Akbar Irani,?,Master Rafiq Ali,?,?,?,
Jago hua Savera, 1959-05-25, Art film,"Khan Ata-ur-Rahman, Mitra, Anis, Zoreen, Rukhshi",A. J. Kardar,Nauman Taseer,Manik Bandopadhaya (novel),Tamar Barran (India) ass. Shantikumar Charthedee (India),Faiz Ahmad Faiz,"Altaf Mehmood, ?",Walter Lassalley (Germany),Ms Binvovet (UK)Jhon Fleteher (UK)
Aaj Kal, 1959-06-05, Family drama,"Sabiha, Kemal, Rakhshi, Bibbo, Abbas Nosha",Munawar H. Qasim,Munawar H. Qasim,Ali Sufyan Afaqi,Master Inayat Hussain,?,?,?,
Kartar Singh, 1959-06-18, Political motivated film,"Musarrat Nazir, Sudhir, Bahar, Laila, Zarif, Allauddin, Inayat Hussain Bhatti, Ajmal, Ghulam Mohammad, Fazal Haq, Iqbal Kashmiri, Kamla Devi,",Saifuddin Saif,Saifuddin Saif,Saifuddin Saif,Saleem Iqbal,"Amrita Pritam, Waris Ludhyanvi, Saif-ud-din Saif","Zubaida Khanum, Naseem Begum, Inayat Hussain Bhatti, Saleem Raza, Sain Akhtar",Naseem Hussain,
Faisla, 1959-06-18, Family drama,"Shamim Ara, Yousuf Khan, Jameela, Lehri, Baby Deeba",Jafar Bukhari,Jafar Bukhari,?,A. Hameed,?,Ahmad Rushdi,?,
Nagin, 1959-06-18, Mystry film,"Neelo, Ratan Kumar, Husna, Yousuf Khan, Nazar, Saqi, Rekha, Abbas Ajmeri, Begum Parveen, Hamid, Sultan Rahi (xtra)",Khalil Qaisar (ass. Jameel Akhtar),Wazir Ali,Aziz Merthi,Safdar Hussain,Qateel Shafai,"Zubaida Khanum, Kousar Parveen, Iqbal Bano, Naheed Niazi, Saleem Raza",Masood-ur-Rehman,
Raaz, 1959-06-18, Crime film,"Musarrat Nazir, Ejaz, Shamim Ara, Talish, Allauddin, Diljeet Mirza Rekha, Majeed, Sultan Rahi (xtra)",Humayun Mirza,Humayun Mirza,Saleem Ahmad,Feroz Nizami,Kaleem Usmani,"Zubaida Khanum, Mubarak Begum, Ahmad Rushdi",?,
Savera, 1959-07-18, Family drama,"Shamim Ara, Kemal, Rukhsana, Sikandar",Rafiq Rizvi,Mamnoon Hassan,Ibrahim Jalees,Manzoor,?,?,?,
Lukkan Mitti, 1959-08-07, Family drama,"Musarrat Nazir, Aslam Parvez, Neelo, Laila, Zarif, Asha Poslay, Talish, Allauddin, G.N. Butt, Nasira, Ajmal, Rekha",Wali Sahib,Wali Sahib,?,Hassan Latif,?,?,?,
Lalkar, 1959-08-07, Family drama,"Yasmin, S. Gul, Nayyar Sultana, Neelo, Shah Nawaz, Sultan Rahi (xtra)",T.H. Riaz,Malik Mehboob,?,Khursheed Qais,Hazin Qadri,?,?,
